,UMAP1,UMAP2,UMAP3,cluster_label,Planet
97,0.47397727,8.360976,3.352479,1,GJ 3293 e
98,0.058777697,8.180565,2.5174613,1,GJ 3323 b
99,-0.285333,8.328932,2.769333,1,GJ 3323 c
100,1.043759,8.146459,2.9118161,1,GJ 3341 b
101,1.4953911,8.819304,4.2589,1,GJ 338 B b
102,1.4751927,8.799618,4.2351155,1,GJ 338 B b
103,0.24172479,8.96773,4.6740527,1,GJ 3470 b
104,-1.249072,9.30796,4.7473254,1,GJ 3473 b
105,-1.2179949,9.266196,4.7333536,1,GJ 3473 c
106,0.413505,8.032921,2.3734848,1,GJ 3512 b
107,0.43121222,8.0307865,2.3814611,1,GJ 3512 b
108,-1.9110056,8.89451,2.84545,1,GJ 3512 c
109,-0.029694803,9.3975,5.3011417,1,GJ 367 b
110,-0.8009059,8.675777,3.66182,1,GJ 3779 b
111,-1.3937144,9.234422,4.5703087,1,GJ 3929 b
112,-1.356289,9.248323,4.595348,1,GJ 3929 c
113,1.4397706,8.75611,4.1642585,1,GJ 3942 b
114,0.6968635,9.365062,5.2715454,1,GJ 3998 b
115,0.8530944,9.156568,4.9828544,1,GJ 3998 c
116,0.34842616,8.605668,3.9490986,1,GJ 411 b
117,0.5268171,8.339969,3.3130274,1,GJ 411 b
118,6.9269786,6.3621354,2.9707906,1,GJ 414 A b
119,1.4852828,8.932419,4.687149,1,GJ 414 A c
120,0.90287113,8.072607,2.7257345,1,GJ 4276 b
121,0.4243007,8.517496,3.7144516,1,GJ 436 b
122,0.4292024,8.515395,3.7124138,1,GJ 436 b
123,0.4926873,8.373046,3.3813448,1,GJ 436 b
124,-0.82621884,8.855315,4.081773,1,GJ 486 b
125,1.274397,8.105475,2.9295006,1,GJ 514 b
126,0.98137665,8.74131,4.1395555,1,GJ 536 b
127,0.8604561,8.878832,4.4473515,1,GJ 536 b
128,-1.3432914,9.291936,4.6487417,1,GJ 581 b
129,-1.2077242,9.169164,4.5599265,1,GJ 581 b
130,-1.2913755,9.284187,4.691456,1,GJ 581 c
131,-0.6803201,8.647473,3.6895154,1,GJ 581 c
132,-1.3109258,9.264324,4.6488605,1,GJ 581 e
133,-0.2909423,8.518986,3.5443895,1,GJ 581 e
134,-0.3011242,8.523733,3.5390978,1,GJ 625 b
135,1.0259778,8.855,4.6369944,1,GJ 649 b
136,1.094794,9.39626,5.299238,1,GJ 685 b
137,-0.336607,8.987685,4.7103577,1,GJ 687 b
138,1.4036021,8.742911,4.1558914,1,GJ 720 A b
139,1.2750543,8.373391,3.429902,1,GJ 740 b
140,0.95211226,8.710114,4.61287,1,GJ 849 b
